id,name,state,postcode,lat,lng,area,region
281,Apslawn,TAS,7190,-41.956623,148.164872,East Coast,Tasmania
282,Apsley,NSW,2820,-32.598356,148.963925,Dubbo & Orana,Regional NSW
283,Apsley,TAS,7030,-42.41812,147.138308,Hobart & Southern,Tasmania
284,Apsley,VIC,3319,-36.967557,141.080748,North Western,Northern VIC
285,Arable,NSW,2630,-36.367368,148.945534,Capital Monaro & Snowy,Regional NSW
286,Arakoon,NSW,2431,-30.888231,153.066955,Mid North Coast,"Hunter, Central & Northern NSW"
287,Araluen,NSW,2622,-35.64693,149.812149,Capital Monaro & Snowy,Regional NSW
288,Araluen,NT,870,-23.702389,133.849536,Alice Springs,Northern Territory
289,Araluen,QLD,4570,-26.159492,152.667669,Sunshine Coast,South East QLD
290,Aramac,QLD,4726,-22.97216,145.24543,Central,Central & West QLD
291,Aramara,QLD,4620,-25.611275,152.325924,South,Central & West QLD
292,Arana Hills,QLD,4054,-27.397523,152.959538,City & North,Brisbane
293,Aranbanga,QLD,4625,-25.806808,151.670067,South,Central & West QLD
294,Aranda,ACT,2614,-35.257964,149.075648,Belconnen,Canberra
295,Arapiles,VIC,3409,-36.761974,141.876872,Grampians,South West VIC
296,Ararat,VIC,3377,-37.284301,142.928227,Grampians,South West VIC
297,Aratula,NSW,2714,-35.498476,145.053417,Murray Region,Regional NSW
298,Aratula,QLD,4309,-27.981456,152.548619,Ipswich & West Moreton,South East QLD
299,Arawata,VIC,3951,-38.394907,145.888218,Gippsland,South East VIC
300,Arbouin,QLD,4871,-17.027167,143.922625,Far North Queensland,Coastal QLD
301,Arbuckle,VIC,3858,-35.105966,142.247591,Gippsland,South East VIC
302,Arcadia South,VIC,3631,-36.594802,145.375106,Shepparton & Central North,Northern VIC
303,Arcadia Vale,NSW,2283,-33.060343,151.575815,Lake Macquarie West,"Hunter, Central & Northern NSW"
304,Arcadia,NSW,2159,-33.623101,151.052726,Hills,Sydney
305,Arcadia,QLD,4819,-19.151037,146.86423,Townsville & District,Coastal QLD
306,Arcadia,VIC,3631,-36.541604,145.362556,Shepparton & Central North,Northern VIC
307,Archdale Junction,VIC,3475,-36.884915,143.517311,Greater Bendigo Region,Northern VIC
308,Archdale,VIC,3475,-36.830903,143.502295,Greater Bendigo Region,Northern VIC
309,Archer River,QLD,4871,-13.429103,142.941374,Far North Queensland,Coastal QLD
310,Archer,NT,830,-12.511818,130.970587,Darwin Area,Northern Territory
311,Archerfield,QLD,4108,-27.567461,153.009199,Southside,Brisbane
312,Archerton,VIC,3723,-36.894465,146.256507,North Eastern,Northern VIC
313,Archies Creek,VIC,3995,-38.548841,145.566045,Gippsland,South East VIC
314,Ardath,WA,6419,-32.034755,118.102766,East,Eastern WA
315,Ardeer,VIC,3022,-37.7748803,144.8002666,West,Melbourne
316,Ardglen,NSW,2338,-31.734505,150.785588,New England - North West,Regional NSW
317,Arding,NSW,2358,-30.588547,151.556745,New England - North West,Regional NSW
318,Ardlethan,NSW,2665,-34.357355,146.903401,Riverina,Regional NSW
319,Ardmona,VIC,3629,-36.378536,145.295366,Shepparton & Central North,Northern VIC
320,Ardross,WA,6153,-32.024879,115.841414,Southern Suburbs,Perth
321,Ardrossan,SA,5571,-34.422953,137.916805,Yorke Peninsula,West Coast SA
322,Areegra,VIC,3480,-36.236565,142.687307,North Western,Northern VIC
323,Areyonga,NT,872,-24.074335,132.269555,Alice Springs,Northern Territory
324,Argalong,NSW,2720,-35.315496,148.453868,Riverina,Regional NSW
325,Argenton,NSW,2284,-32.934813,151.630879,Newcastle & Region,"Hunter, Central & Northern NSW"
326,Argents Hill,NSW,2449,-30.621952,152.746326,Mid North Coast,"Hunter, Central & Northern NSW"
327,Argoon,NSW,2707,-34.858279,145.674146,Riverina,Regional NSW
328,Argoon,QLD,4702,-24.255147,150.433484,Central,Central & West QLD
329,Argyle,NSW,2350,-30.523571,151.791612,New England - North West,Regional NSW
330,Argyle,VIC,3523,-36.966932,144.717003,Greater Bendigo Region,Northern VIC
331,Argyle,WA,6239,-33.548215,115.766342,South,Southern WA
332,Argyll,QLD,4721,-23.277321,147.562498,Central,Central & West QLD
333,Ariah Park,NSW,2665,-34.348105,147.221222,Riverina,Regional NSW
